strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
280,50,-40,0.09225809803317878,0.2,1
280,50,-30,0.09225809803317878,0.2,1
280,50,-20,0.09225809803317878,0.2,1
280,60,-40,0.09225809803317878,0.2,1
280,60,-30,0.09225809803317878,0.2,1
280,70,-50,0.09225809803317878,0.2,1
280,70,-40,0.09225809803317878,0.2,1
290,60,-40,0.09225809803317878,0.2,1
290,60,-30,0.09225809803317878,0.2,1
290,60,-20,0.09225809803317878,0.2,1
290,60,-10,0.09225809803317878,0.2,1
290,70,-40,0.09225809803317878,0.2,1
290,70,-30,0.09225809803317878,0.2,1
290,70,-20,0.09225809803317878,0.2,1
290,70,-10,0.09225809803317878,0.2,1
290,80,-40,0.09225809803317878,0.2,1
290,80,-30,0.09225809803317878,0.2,1
290,80,-20,0.09225809803317878,0.2,1
300,60,-30,0.09225809803317878,0.2,1
300,60,-20,0.09225809803317878,0.2,1
300,60,-10,0.09225809803317878,0.2,1
300,60,0,0.09225809803317878,0.2,1
300,60,10,0.09225809803317878,0.2,1
300,60,20,0.09225809803317878,0.2,1
300,70,-30,0.09225809803317878,0.2,1
300,70,-20,0.09225809803317878,0.2,1
300,70,-10,0.09225809803317878,0.2,1
300,70,0,0.09225809803317878,0.2,1
300,70,10,0.09225809803317878,0.2,1
300,70,20,0.09225809803317878,0.2,1
300,70,30,0.09225809803317878,0.2,1
300,80,-40,0.09225809803317878,0.2,1
300,80,-30,0.09225809803317878,0.2,1
300,80,-20,0.09225809803317878,0.2,1
300,80,-10,0.09225809803317878,0.2,1
300,80,0,0.09225809803317878,0.2,1
300,80,10,0.09225809803317878,0.2,1
300,80,20,0.09225809803317878,0.2,1
300,80,30,0.09225809803317878,0.2,1
300,90,-40,0.09225809803317878,0.2,1
300,90,-30,0.09225809803317878,0.2,1
300,90,-20,0.09225809803317878,0.2,1
300,90,-10,0.09225809803317878,0.2,1
300,90,0,0.09225809803317878,0.2,1
300,90,10,0.09225809803317878,0.2,1
300,90,20,0.09225809803317878,0.2,1
300,90,30,0.09225809803317878,0.2,1
310,70,-20,0.09225809803317878,0.2,1
310,70,-10,0.09225809803317878,0.2,1
310,70,0,0.09225809803317878,0.2,1
310,70,10,0.09225809803317878,0.2,1
310,70,20,0.09225809803317878,0.2,1
310,70,30,0.09225809803317878,0.2,1
310,80,-30,0.09225809803317878,0.2,1
310,80,-20,0.09225809803317878,0.2,1
310,80,-10,0.09225809803317878,0.2,1
310,80,0,0.09225809803317878,0.2,1
310,80,10,0.09225809803317878,0.2,1
310,80,20,0.09225809803317878,0.2,1
310,80,30,0.09225809803317878,0.2,1
310,90,-30,0.09225809803317878,0.2,1
310,90,-20,0.09225809803317878,0.2,1
310,90,-10,0.09225809803317878,0.2,1
310,90,0,0.09225809803317878,0.2,1
310,90,10,0.09225809803317878,0.2,1
310,90,20,0.09225809803317878,0.2,1
310,90,30,0.09225809803317878,0.2,1
320,60,50,0.09225809803317878,0.2,1
320,80,-20,0.09225809803317878,0.2,1
320,80,-10,0.09225809803317878,0.2,1
320,80,0,0.09225809803317878,0.2,1
320,80,10,0.09225809803317878,0.2,1
320,80,20,0.09225809803317878,0.2,1
320,80,30,0.09225809803317878,0.2,1
320,90,-20,0.09225809803317878,0.2,1
320,90,-10,0.09225809803317878,0.2,1
